Westerdoksdijk  703, Amsterdam, Netherlands
Amstelveld  21, Amsterdam, Netherlands
Bickersgracht  282, Amsterdam, Netherlands
Hendrik Jonkerplein 3, Amsterdam, Netherlands
Jonas Daniel Meyerplein  15, Amsterdam, Netherlands
Keizersstraat  5, Amsterdam, Netherlands
Marnixplein  2A, Amsterdam, Netherlands
Weteringschans  30, Amsterdam, Netherlands
Oudeschans  10d, Amsterdam, Netherlands
eerste marnixplantsoen   9, Amsterdam, Netherlands
Plantage Kerklaan  38, Amsterdam, Netherlands
Funenkade  7a, Amsterdam, Netherlands
Kattenburgerplein  1, Amsterdam, Netherlands
Amstel 51 , Amsterdam, Netherlands
1e weteringdwarsstraat 49, Amsterdam, Netherlands
Nieuwe Weteringstraat  46, Amsterdam, Netherlands
rembrandtplein  46, Amsterdam, Netherlands
max Euwensplein  65, Amsterdam, Netherlands
Nieuwmarkt , Amsterdam, Netherlands
Beatrixpark 0, Amsterdam, Netherlands
H.M.van Randwijkplantsoen 1, Amsterdam, Netherlands
Beartixpark , Amsterdam, Netherlands
Beatrixpark , Amsterdam, Netherlands
Leidseplein  1, Amsterdam, Netherlands
Plantage Middenlaan  2A, Amsterdam, Netherlands
Westermarkt hoek prinsengracht, Amsterdam, Netherlands
1e Marnixplantsoen  Marnixkade 31, Amsterdam, Netherlands
Egelantiersstraat  72/Tuinplein, Amsterdam, Netherlands
Plantage Middenlaan / Plantage Parklaan, Amsterdam, Netherlands
Botteskerksingel  17, Amsterdam, Netherlands
Oosever  1, Amsterdam, Netherlands
Meer en Vaart  318, Amsterdam, Netherlands
bakhuizen vd Brinkhof  14, Amsterdam, Netherlands
Wiardi Beckmaraat  23, Amsterdam, Netherlands
Confuciusplein  14, Amsterdam, Netherlands
Piet Mondriaanplein  2, Amsterdam, Netherlands
staalmanpark  10, Amsterdam, Netherlands
Gerbrandypark   zwembad, Amsterdam, Netherlands
Gerbrandypark ng  tennis velden, Amsterdam, Netherlands
Evertsweertplantsoen  70, Amsterdam, Netherlands
Th.J. Lammerslaan 1 , Amsterdam, Netherlands
Sondebuur  38, Amsterdam, Netherlands
Saskia van Uijlenburgkade 100, Amsterdam, Netherlands
Lodewijk van Deijsselstraat , Amsterdam, Netherlands
